,hart_pa,winding,n_arms
20902000,15.305479490607976,1.5362861603498459,0.9071820378303528
20902007,15.034614935405552,1.2722768224775791,1.9924704432487488
20902023,15.527455007769166,1.491800107061863,1.2959140967577696
20902031,13.719973568804562,1.340612892061472,0.6463611125946045
20902048,18.83985485866666,2.1130426824092865,0.7998253628611565
20902059,18.744129860885444,1.9089999869465828,1.7259999569505453
20902062,20.187910113036633,1.73300002515316,3.6989999637007713
20902073,16.72129183720797,1.6317197941243649,1.5286436527967453
20902086,20.685347294509413,2.157825320959091,2.0
20902008,19.85611503109336,2.0861098021268845,1.7135350704193115
20902018,16.12002469971776,1.551134169101715,1.46100003272295
20902040,19.56456050410867,1.9680000692605972,2.0680000483989716
20902052,21.240257629454135,2.244938403367996,2.0
20902053,21.25949075475335,2.229975674301386,2.088112084195018
20902055,20.611709879338743,1.862999975681305,3.388000026345253
20902060,15.962346518337727,1.5786102861166,1.2050761505961418
20902061,22.413836271762847,2.450881242752075,1.8936328887939453
20902064,21.67717059917748,2.1151490584015846,2.9720546901226044
20902065,17.617064926475287,1.6761483401060104,2.0
20901992,20.140761235132814,1.9701506197452545,2.5006936825811863
20901996,17.984756626822055,1.6846472918987274,2.2411949057132006
20902002,18.984889813661574,2.0269999653100967,1.3330000266432762
20902013,16.311302932947875,1.5142274498939514,1.788980059325695
20902015,15.890440796017646,1.5233472883701324,1.420552745461464
20902017,16.694955640882256,1.469449833035469,2.303507849574089
20901998,18.627955023944377,1.8517116755247116,1.9173474237322807
20902005,15.57316002100706,1.624359518289566,0.6815306842327118
20902016,19.53902593135834,2.1245177537202835,1.2814214155077934
20902051,14.650620949417352,1.2070582807064056,2.0166613087058067
20902054,17.780533352307977,1.6457539908587933,2.2746772542595863
20902063,19.141092608571054,1.8376440703868866,2.380999907851219
20901994,18.987714741528038,1.9916458427906036,1.50840824842453
20901990,20.73078979715705,2.0269999653100967,2.676000013947487
20902001,18.30979760095477,1.8744598776102066,1.5611447542905807
20902003,14.806598166003823,1.4073330461978912,1.1552974320948124
20901995,18.53399518571794,1.8587151616811752,1.8107535429298878
20901999,25.46750836059451,2.908557042479515,2.0
20902026,15.265331923738122,1.3867328688502312,1.6091104224324226
20902027,17.733752772808074,1.8594737946987152,1.1914651542901993
20902030,20.093212813064454,2.0216544419527054,2.211749244481325
20902049,20.011375380754473,2.068646788597107,1.9185348749160767
20902066,13.272732245326042,1.2519130110740662,0.7369587421417236
20902068,15.82363851338625,1.3916101455688477,2.0146783739328384
20902074,13.673564008437097,1.0639955401420593,1.9660864751785994
20902076,16.443858998790382,1.5125755220651627,1.8990407101809978
20902078,13.22340506054461,1.0957559496164322,1.4641843549907207
20902022,18.363821005299688,1.7627559453248978,2.150050487369299
20902032,19.895710115730765,2.0505878925323486,1.9180501848459244
20902033,15.645476235058158,1.354763550683856,2.0581787824630737
20902037,24.44135397851467,2.674856975674629,2.355780802667141
20902070,20.381633474864067,2.06584020704031,2.2171010430902243
20902071,18.00580945119262,1.7920551151037216,1.7310910522937775
20902072,15.259651833921671,1.424841657280922,1.4180080592632294
20902079,14.531052245795728,1.2103109657764435,1.9087472259998322
20902083,18.104279159903527,1.7738589644432068,1.8959981203079224
20901993,16.786885142475366,1.5597975999116898,1.931518793106079
20902010,16.319690408669413,1.5427744090557098,1.655551863834262
20902011,19.01665721707046,1.5025586858391762,3.9271987602114677
20902014,17.41772108823061,1.7385586649179459,1.5408479943871498
20902019,14.558916778191925,1.50933188945055,0.4649789556860924
20902035,19.07732865665108,1.818159431219101,2.4274254459887743
20902006,22.005759439133108,2.3641529083251953,2.004696471616626
20902029,17.27396545048803,1.4540434144437313,2.8243914619088173
20902012,23.564825165756044,2.613404121249914,1.982646856456995
20902043,23.31315229874104,2.4300194941461086,2.6876370161771774
20902046,18.737750812619925,1.9508485049009323,1.516035258769989
20902004,18.33369001112878,1.795131966471672,1.9682302959263325
20902020,19.785792199373244,2.0345210134983063,1.9122256487607956
20902025,,,
20902028,19.91232578009367,2.098699390888214,1.695085123181343
20901991,,,
