,NSAID,ISDSS,INED,IAUNAME,RA,DEC,Z,ZDIST,SERSIC_BA,SERSIC_PHI,PETRO_THETA,PETRO_BA90,PETRO_PHI90,PETRO_BA50,PETRO_PHI50,RUN,CAMCOL,FIELD,RERUN,ELPETRO_MASS,SERSIC_MASS,montage_angle,original_angle,angle
20901989,485056,490426,-1,b'J075444.54+143627.8',118.68561515736404,14.607728812236362,1.807122134778183e-05,0.001208746456541121,0.4365125596523285,51.434600830078125,6.728251934051514,0.5080209374427795,54.90509033203125,0.6257599592208862,58.77641296386719,5045,4,46,b'301',12488733.0,21668380.0,1.653367064959728,-3.0592277957300325,1.653367064959728
20901990,647251,-1,-1,b'J081340.89+455927.9',123.42139296706144,45.99305093955388,0.0014776912285014987,0.002443568082526326,0.9159437417984009,139.31832885742188,17.69807243347168,0.9824713468551636,91.88568115234375,0.901755154132843,99.80142211914062,1302,4,125,b'301',58803960.0,53772080.0,2.197914394494988,2.196645941243774,2.197914394494988
20901991,431909,437265,89492,b'J104600.34+345801.7',161.49740503419847,34.96486016669342,0.006591957062482834,0.007313817739486694,0.8216313123703003,123.96279907226562,17.295427322387695,0.8715651631355286,126.48086547851562,0.7605297565460205,140.67425537109375,4504,3,44,b'301',3119348224.0,3402922496.0,0.7804156001299332,2.351402219693399,0.7804156001299332
20901992,649067,-1,-1,b'J095445.89+132229.0',148.69235947828727,13.374788546076505,0.01986008882522583,0.01975308731198311,0.5468869805335999,148.97900390625,17.10070037841797,0.5981055498123169,150.80996704101562,0.7101686596870422,146.5042724609375,4338,6,41,b'301',1344931072.0,2403213824.0,0.3420567258701422,1.913315992317945,0.3420567258701422
20901993,167921,171977,140093,b'J133209.45-024457.2',203.03940680729346,-2.749308103356215,0.01998516172170639,0.019762687385082245,0.7146269083023071,178.68521118164062,15.426863670349121,0.7805911898612976,173.4447021484375,0.8549586534500122,148.68731689453125,2333,3,41,b'301',2885876480.0,3553339392.0,1.6719384606307646,1.6719384606307646,1.6719384606307646
20901994,623340,-1,70568,b'J093923.99+363430.0',144.84331304861075,36.57456808811135,0.019985785707831383,0.020043911412358284,0.7091171145439148,52.56756591796875,13.184025764465332,0.8481488823890686,49.452972412109375,0.8667895197868347,62.93902587890625,3560,2,245,b'301',2097533440.0,1018169664.0,-3.012956803500947,-3.012956803500947,-3.012956803500947
20901995,328153,333406,107927,b'J114610.37+073102.4',176.54323619052533,7.517395254019412,0.020091364160180092,0.01993056759238243,0.6845789551734924,83.3028564453125,18.95615005493164,0.7613246440887451,84.95877075195312,0.7964956760406494,81.08782958984375,3841,4,78,b'301',1771669888.0,2071161344.0,1.6388734846008808,-3.073320917967948,1.6388734846008808
20901996,222118,226651,172638,b'J155751.53+461824.4',239.4648067158177,46.306771617823046,0.020092573016881943,0.020615968853235245,0.7635829448699951,172.2186279296875,17.72751808166504,0.8138757944107056,173.184326171875,0.8979584574699402,144.228271484375,3225,5,179,b'301',1852325248.0,1856122240.0,2.523411579545745,2.523411579545745,2.523411579545745
20901997,322889,328133,102287,b'J112706.08+131419.3',171.7753959532051,13.238691023513736,0.02012467198073864,0.020005129277706146,0.9061998724937439,93.42428588867188,20.303659439086914,0.9279674887657166,95.245849609375,0.9519892334938049,106.51727294921875,3836,6,155,b'301',2905780224.0,4712568320.0,1.431877172125822,3.002944647734955,1.431877172125822
20901998,67428,69916,110330,b'J115451.29+025733.2',178.7137659026009,2.9592284183689537,0.020216695964336395,0.01994294673204422,0.9731072187423706,17.56793212890625,21.376789093017578,0.9666686654090881,120.79852294921875,0.9710583090782166,21.539749145507812,5976,2,212,b'301',3321057280.0,4946294272.0,1.5402028669433239,1.5404557966396542,1.5402028669433239
20901999,168030,172086,137348,b'J132531.22-032225.7',201.3800780612446,-3.3738401704666914,0.020219244062900543,0.01991768553853035,0.5321765542030334,43.767425537109375,20.18779945373535,0.6339401602745056,47.032562255859375,0.7533083558082581,43.67866516113281,2334,1,37,b'301',5436848128.0,8077030400.0,2.307433432419753,-2.404900755414126,2.307433432419753
20902000,474618,479983,100657,b'J112146.52+255817.6',170.44385013022634,25.971550972336015,0.02024967223405838,0.020187832415103912,0.5393484234809875,119.23196411132812,17.799644470214844,0.6296870708465576,120.9591064453125,0.6947540044784546,111.34039306640625,5087,2,128,b'301',2664139520.0,2932315648.0,0.9599780531330141,2.531229109970083,0.9599780531330141
20902001,97891,101199,177356,b'J161353.34+481748.0',243.4722575140742,48.29670089532651,0.02025848813354969,0.020809080451726913,0.7820712327957153,21.2413330078125,12.699185371398926,0.8517418503761292,22.279342651367188,0.94678795337677,133.27890014648438,2248,4,94,b'301',2154461440.0,2478667520.0,1.9018426155622457,-1.2406276725411083,1.9018426155622457
20902002,673998,-1,-1,b'J131258.09+311533.9',198.2435591251464,31.257959435969727,0.02026071399450302,0.02045787312090397,0.6565235257148743,93.75787353515625,28.134496688842773,0.7509335279464722,96.60821533203125,0.8790868520736694,71.80039978027344,4599,2,176,b'301',2816472064.0,3605760768.0,1.5956234422379914,-3.117441935810114,1.5956234422379914
20902003,67572,70060,112411,b'J120233.97+015139.7',180.64154454932606,1.861034988495019,0.02032771334052086,0.02001078426837921,0.5696786046028137,161.0860595703125,12.340964317321777,0.6612095832824707,159.219482421875,0.7750676274299622,164.84759521484375,1462,2,369,b'301',2961022976.0,3381111296.0,0.3598131647652503,1.930301189952656,0.3598131647652503
20902004,348101,353394,147094,b'J135719.16+115833.6',209.33008082388977,11.976079204600808,0.020362572744488716,0.020280098542571068,0.9676928520202637,156.40057373046875,16.14954948425293,0.9488358497619629,164.78875732421875,0.9493691325187683,48.3055419921875,3894,5,37,b'301',2432345088.0,3822360832.0,0.36047584983443176,1.9314263180617208,0.36047584983443176
20902005,71450,73938,136318,b'J132219.48+022514.7',200.5811999888135,2.4207513660772118,0.020368563011288643,0.020135847851634026,0.5044173002243042,76.6705322265625,13.706474304199219,0.5661656856536865,75.96466064453125,0.7530887722969055,79.41867065429688,1462,4,502,b'301',958619200.0,1308841344.0,1.8272790803547867,-2.8847481696982262,1.8272790803547867
20902006,496451,501856,81367,b'J102016.67+243550.8',155.06939955097207,24.597642988565045,0.020394623279571533,0.02028152346611023,0.8746746778488159,46.03961181640625,19.730932235717773,0.8912350535392761,40.60087585449219,0.8948802947998047,143.92465209960938,5112,4,301,b'301',1754366464.0,1307143936.0,-2.55916665395646,-2.55916665395646,-2.55916665395646
20902007,520167,525744,103982,b'J113246.94+200217.4',173.19559639135758,20.03811112149776,0.020420381799340248,0.020327895879745483,0.5739074945449829,107.06805419921875,17.496665954589844,0.6507113575935364,106.60317993164062,0.7750407457351685,112.9552001953125,5313,5,93,b'301',4467686400.0,6090610176.0,1.2277763962937396,2.798191690007015,1.2277763962937396
20902008,627419,-1,109768,b'J115244.70+014423.9',178.1810237999341,1.7407805133925844,0.020425207912921906,0.020092183724045753,0.8070183396339417,49.43798828125,25.23582649230957,0.8499306440353394,61.55023193359375,0.7968631982803345,30.69482421875,5973,2,92,b'301',6302386688.0,8952601600.0,2.572933767375546,2.572847533889251,2.572933767375546
20902009,288287,293487,179345,b'J162353.08+292529.3',245.9711907955907,29.424851470501558,0.020428912714123726,0.02076025679707527,0.7222452163696289,125.71005249023438,14.679880142211914,0.7985987663269043,127.2926025390625,0.8797054290771484,110.87298583984375,3723,6,146,b'301',1483354752.0,1903558528.0,-3.0267272566383636,-3.0267272566383636,-3.0267272566383636
20902010,675678,-1,-1,b'J132848.00+110155.0',202.20288398240348,11.032225023418562,0.0204513780772686,0.020335983484983444,0.5771237015724182,153.86151123046875,11.275078773498535,0.6359161734580994,155.24810791015625,0.6422484517097473,155.52120971679688,6166,6,31,b'301',2505427200.0,2666906368.0,0.017404760713985647,-3.1245982258267504,0.017404760713985647
20902011,198758,203235,103355,b'J113051.31+550349.1',172.71378775705318,55.06354357591786,0.02045675553381443,0.0208230409771204,0.9821594953536987,155.3914794921875,15.164274215698242,0.9627301692962646,6.86798095703125,0.8842518925666809,14.54254150390625,2821,5,156,b'301',2930857728.0,3390920448.0,-1.9533553535052481,-1.9533553535052481,-1.9533553535052481
20902012,521658,527235,107579,b'J114506.57+200923.1',176.2773812390004,20.156426830257224,0.020486317574977875,0.020396867766976357,0.38732001185417175,71.66152954101562,13.916864395141602,0.5722200274467468,72.34580993652344,0.6214486360549927,75.1173095703125,5225,4,81,b'301',4269123840.0,5513252864.0,1.8093868836509068,-2.90256460586384,1.8093868836509068
20902013,364625,369963,104656,b'J113459.86+154106.9',173.74945468126853,15.685279430286394,0.02050771936774254,0.020355064421892166,0.8713603615760803,68.39239501953125,19.395078659057617,0.8936556577682495,69.93190002441406,0.9350122809410095,47.72381591796875,3631,6,379,b'301',3664474624.0,4712035840.0,1.8586787410345966,-2.854160679170482,1.8586787410345966
20902014,25318,25696,187900,b'J172901.77+600521.7',262.2573759758546,60.08939962404813,0.020509609952569008,0.02124233916401863,0.781110942363739,167.19235229492188,17.59708023071289,0.8206062316894531,168.75762939453125,0.9235975742340088,167.97048950195312,1356,4,61,b'301',3106640384.0,4318269952.0,0.12136159712665402,-3.017200572746462,0.12136159712665402
20902015,503268,508675,79734,b'J101515.85+210310.5',153.81606004446937,21.052940616833606,0.0205155648291111,0.020323507487773895,0.3998153507709503,109.478515625,12.663240432739258,0.46925613284111023,109.5618896484375,0.6813163161277771,113.74520874023438,5137,2,269,b'301',1984753792.0,2074555392.0,2.6001786680133545,2.6001786680133545,2.6001786680133545
